API_UWI,Unformatted_API_UWI,WellName,Country,StateProvince,County,ENVOperator,StateWellType,Formation,FirstProdDate,Latitude,Longitude,Latitude_BH,Longitude_BH,TVD_FT,MD_FT,Field,Section,Township,Range,Section_Township_Range,ElevationKB_FT,ElevationGL_FT,PermitApprovedDate,DrillingEndDate,StateFileNumber,UpperPerf_FT,LowerPerf_FT,FirstProdYear
33-053-02659,3305302659,KINGMAN 1-12H,US,ND,MCKENZIE,SAMSON OIL AND GAS,OIL & GAS,MADISON,2006-07-01,47.818547658576996,-103.79575000556399,47.832254986969396,-103.81644973516484,9245.0,16200.0,FOREMAN BUTTE,18,150N,102W,18-150N-102W,2110.0,2092.0,2005-05-23,2006-06-18,15841,10400,16200,*Pre-2010
33-053-02564,3305302564,KARST  13-5,US,ND,MCKENZIE,SAMSON OIL AND GAS,OIL & GAS,MADISON POOL,2003-09-01,47.83923220868494,-104.03065520929987,,,,9305.0,HARDING,05,150N,104W,05-150N-104W,1911.0,1897.0,2003-06-03,,15433,9024,9050,*Pre-2010
33-053-02636,3305302636,THOMAS 1-36H,US,ND,MCKENZIE,SAMSON OIL AND GAS,OIL & GAS,RATCLIFFE,2005-09-01,47.77513500000001,-103.688823,47.763685293245274,-103.67196024092028,9480.0,15101.0,FOREMAN BUTTE,36,150N,102W,36-150N-102W,2263.0,2249.0,2005-03-15,2005-08-13,15764,9536,15101,*Pre-2010
33-053-02636,3305302636,THOMAS 1-36H,US,ND,MCKENZIE,SAMSON OIL AND GAS,OIL & GAS,RATCLIFFE,2005-09-01,47.77513500000001,-103.688823,47.763685293245274,-103.67196024092028,9480.0,15101.0,FOREMAN BUTTE,36,150N,102W,36-150N-102W,2263.0,2249.0,2005-03-15,,,9536,15101,*Pre-2010
25-083-21551,2508321551,OBERGFELL  1,US,MT,RICHLAND,SAMSON OIL AND GAS USA,OIL,MISSION CANYON,1982-04-01,47.741305777749304,-104.41408804626998,,,,12650.0,PUTNAM,21,023N,057E,21-023N-057E,2620.0,2606.0,1981-07-21,,,,,*Pre-2010
33-105-01531,3310501531,IVA  1-6H,US,ND,WILLIAMS,SAMSON OIL AND GAS,OIL & GAS,NEESON,2006-03-01,48.02354133011867,-103.79795504730265,48.01041059479337,-103.78118874567643,9126.0,15050.0,EIGHTMILE,01,152N,103W,01-152N-103W,1875.0,1862.0,2004-12-20,2006-01-01,15728,9690,15050,*Pre-2010
33-105-01531,3310501531,IVA  1-6H,US,ND,WILLIAMS,SAMSON OIL AND GAS,OIL & GAS,NEESON,2006-03-01,48.02354133011867,-103.79795504730265,48.01041059479337,-103.78118874567643,9126.0,15050.0,EIGHTMILE,01,152N,103W,01-152N-103W,1875.0,1862.0,2004-12-20,,,9690,15050,*Pre-2010
33-105-01530,3310501530,GIBBINS 1-11H,US,ND,WILLIAMS,SAMSON OIL AND GAS,OIL & GAS,RATCLIFFE,2005-04-01,48.1827595072185,-103.90549296647329,48.17142202750314,-103.88833166619351,9216.0,14718.0,PAINTED WOODS,11,154N,103W,11-154N-103W,2258.0,2245.0,2004-12-17,2005-03-25,15719,9224,14719,*Pre-2010
33-105-01530,3310501530,GIBBINS 1-11H,US,ND,WILLIAMS,SAMSON OIL AND GAS,OIL & GAS,RATCLIFFE,2005-04-01,48.1827595072185,-103.90549296647329,48.17142202750314,-103.88833166619351,9216.0,14718.0,PAINTED WOODS,11,154N,103W,11-154N-103W,2258.0,2245.0,2004-12-17,,,9224,14719,*Pre-2010
25-083-21842,2508321842,FEDERAL  1-17R,US,MT,RICHLAND,SAMSON OIL AND GAS USA,OIL,RED RIVER,1996-08-01,48.01057118466451,-104.25863326394328,,,,12660.0,"Sioux Pass, North",17,026N,058E,17-026N-058E,,2142.0,1996-06-19,,,,,*Pre-2010
33-053-02621,3305302621,LASSEY 1-15H,US,ND,MCKENZIE,SAMSON OIL AND GAS,OIL & GAS,RATCLIFFE,2005-11-01,47.904377,-103.85930099999999,47.89341692068214,-103.8427682515949,9218.0,14596.0,GLASS BLUFF,15,151N,103W,15-151N-103W,2138.0,2123.0,2004-11-23,2005-11-27,15695,9423,14596,*Pre-2010
33-053-02621,3305302621,LASSEY 1-15H,US,ND,MCKENZIE,SAMSON OIL AND GAS,OIL & GAS,RATCLIFFE,2005-11-01,47.904377,-103.85930099999999,47.89341692068214,-103.8427682515949,9218.0,14596.0,GLASS BLUFF,15,151N,103W,15-151N-103W,2138.0,2123.0,2004-11-23,,,9243,14596,*Pre-2010
33-053-02093,3305302093,DANIELSON 1-32,US,ND,MCKENZIE,SAMSON OIL AND GAS,OIL & GAS,MULTIPLE,1985-12-01,47.8500766526365,-104.02874795132293,,,,11000.0,HARDING,32,151N,104W,32-151N-104W,1913.0,1896.0,,,11713,9034,10546,*Pre-2010
33-053-02595,3305302595,MARIS 1-16H,US,ND,MCKENZIE,SAMSON OIL AND GAS,OIL & GAS,RATCLIFFE,2004-09-01,47.81776099999999,-103.75240799999999,47.808188046107496,-103.73752028373993,9279.0,14059.0,FOREMAN BUTTE,16,150N,102W,16-150N-102W,2122.0,2108.0,2004-04-30,2004-07-19,15595,9283,14059,*Pre-2010
33-053-02595,3305302595,MARIS 1-16H,US,ND,MCKENZIE,SAMSON OIL AND GAS,OIL & GAS,RATCLIFFE,2004-09-01,47.81776099999999,-103.75240799999999,47.808188046107496,-103.73752028373993,9280.0,14059.0,FOREMAN BUTTE,16,150N,102W,16-150N-102W,2122.0,2108.0,2004-04-30,,,9283,14059,*Pre-2010
33-053-02699,3305302699,HODGES  1-1H,US,ND,MCKENZIE,SAMSON OIL AND GAS,OIL & GAS,MADISON POOL,2006-05-01,47.8369154818839,-103.80061798934203,47.84673697148265,-103.81662358868552,9182.0,14255.0,FOREMAN BUTTE,01,150N,103W,01-150N-103W,2047.0,2029.0,2006-02-06,2006-04-07,16133,9200,14255,*Pre-2010
33-053-02699,3305302699,HODGES  1-1H,US,ND,MCKENZIE,SAMSON OIL AND GAS,OIL & GAS,MADISON POOL,2006-05-01,47.8369154818839,-103.80061798934203,47.84673697148265,-103.81662358868552,9183.0,14255.0,FOREMAN BUTTE,01,150N,103W,01-150N-103W,2047.0,2029.0,2006-02-06,,,9200,14255,*Pre-2010
33-105-01437,3310501437,TOMMY 1-20H,US,ND,WILLIAMS,SAMSON OIL AND GAS,OIL & GAS,MADISON | NESSON,1997-09-01,48.31524194987467,-103.56447220781536,48.32499306495385,-103.56946261579144,9047.0,13097.0,EAST FORK,20,156N,100W,20-156N-100W,1924.0,1910.0,,1997-08-25,14707,9606,13097,*Pre-2010
33-105-01437,3310501437,TOMMY 1-20H,US,ND,WILLIAMS,SAMSON OIL AND GAS,OIL & GAS,MADISON | NESSON,1997-09-01,48.31524194987467,-103.56447220781536,48.32499306495385,-103.56946261579144,9057.0,12450.0,EAST FORK,20,156N,100W,20-156N-100W,1924.0,1910.0,,1997-08-25,,9057,12450,*Pre-2010
